Name,Brand,Current Price,Full Price,Category,Color,Size,SKU,GTIN
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,12.5,c594c72d-0975-5624-b824-07bb5d70f0c6,00197600658646
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,13,9db36262-6b94-5cd5-acfa-100ba7e441da,00197600715066
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,14,3d24c4f8-afaa-5284-a156-8090cff69ac7,00197600672536
NIKE QUEST 6,Nike,140,140,FOOTWEAR,FB2207-407,15,15ff8882-012e-5186-bb16-072e95642330,00197600685406
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,6,cf8242d2-7a4f-5b14-b900-47bbea7f3381,00197596687453
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,6.5,953c6d24-8f43-5318-a37c-899b0e5cc84d,00197596256550
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,7,187fcae6-f8aa-59ac-9056-8f037c7898e1,00197596940558
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,7.5,8de2469b-9b5f-5d55-aa97-2e18deb727b3,00197596240115
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,8,d17f92d8-db6f-5a1c-a3cf-62858d2bc9fa,00197596382327
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,8.5,891d404d-439c-5683-8c7e-6a7b795ac3cd,00197596812916
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,9,9e3878bd-68c2-5425-9c96-9c9698c15d3f,00197596224948
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,9.5,7e1ddcd7-790e-559d-955d-20dd5408d5ba,00197596172737
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,10,1b305b7a-d14b-5b98-8134-aa825f576108,00197596964875
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,10.5,68b28e85-7408-58f0-9fbd-080441cebdc7,00197598562888
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,11,3d8c7026-49de-5b5c-b75e-66fa72013606,00197596342277
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,11.5,b0220740-20cc-556e-b9b3-c83fcfd727cc,00197598553688
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,12,aad8ef59-e607-54ac-aa84-26ccd1a99573,00197596863536
NIKE REVOLUTION 7 EASYON,Nike,85,85,FOOTWEAR,HQ3223-325,12.5,12364854-15ba-5822-8caa-a31491ccf1e8,00197596342000
